name,salary,experience,work_schedule,employer,rating,_id
Пеший курьер,до 62 000 ₽,не требуется,"Частичная занятость, гибкий график",СберМаркет Сборка и доставка,"3,5",6606e2603086df69bee9defa
Экспедитор-снабженец,от 55 000 до 63 000 ₽,1–3 года,"Полная занятость, полный день",ООО ,,6606e2603086df69bee9defb
,,,"* Прием в штат во всех регионах (по желанию кандидатов возможен прием на договор ГПХ), за исключением Москвы и Московской области — здесь оформляем по договору ГПХ.",,,6606e2603086df69bee9defc
,,,"* Прием в штат во всех регионах (по желанию кандидатов возможен прием на договор ГПХ), за исключением Москвы и Московской области — здесь оформляем по договору ГПХ.",,,6606e2603086df69bee9defd
Диспетчер чатов (в Яндекс),от 30 000 до 44 000 ₽,не требуется,"Полная занятость, удаленная работа",Яндекс Команда для бизнеса,"4,3",6606e2603086df69bee9defe
,,,"от 44 000 ₽ , С нами можно начать карьеру с нуля или перезапустить ее, чтобы попробовать что-то новое.",,,6606e2603086df69bee9deff
Заместитель руководителя пищевого производства,от 42 700 до 89 600 ₽,1–3 года,"Полная занятость, полный день",СПАР Урал,"3,5",6606e2603086df69bee9df00
,,,"А в Додо есть то,, А в Додо есть то,",,,6606e2603086df69bee9df01
,,,"А в Додо есть то,, А в Додо есть то,",,,6606e2603086df69bee9df02
,,,Бесплатное обучение и быстрый старт,,,6606e2603086df69bee9df03
Специалист службы поддержки (в Яндекс),от 30 000 до 44 000 ₽,не требуется,"Полная занятость, удаленная работа",Яндекс Команда для бизнеса,"4,3",6606e2603086df69bee9df04
,,,,,,6606e2603086df69bee9df05
,,,"Будет преимуществом, если ранее работали в компаниях МТС, Билайн, ЭР-Телеком, Сбербанк, Почта Банк, Альфа-банк, в страховых компаниях",,,6606e2603086df69bee9df06
"Менеджер по работе с клиентами, Лазурный",от 28 600 ₽,не требуется,"Частичная занятость, полный день",Сбер для экспертов,"4,0",6606e2603086df69bee9df07
,,,"А в Додо есть то,, А в Додо есть то,",,,6606e2603086df69bee9df08
Старший менеджер по обслуживанию,от 46 300 ₽,не требуется,"Полная занятость, полный день",Сбер для экспертов,"4,0",6606e2603086df69bee9df09
,,,,,,6606e2603086df69bee9df0a
Менеджер чатов (в Яндекс),от 30 000 до 44 000 ₽,не требуется,"Полная занятость, удаленная работа",Яндекс Команда для бизнеса,"4,3",6606e2603086df69bee9df0b
Старший клиентский менеджер,от 51 900 до 51 900 ₽,не требуется,"Полная занятость, гибкий график",Сбер для экспертов,"4,0",6606e2603086df69bee9df0c
,,,,,,6606e2603086df69bee9df0d
